"ST_CASE","PERSONS","FATALS","ROUTE","MAN_COLL","LGT_COND","WEATHERlight","BODY_TYP","AGE","INJ_SEV","DRINKING","TRAV_SP","L_TYPE","VSPD_LIM","fata_rate"
122094,2,1,"LOCAL","front","light","light","small",17,"injured","NO",55,"Licensed",55,50.00
122100,2,1,"LOCAL","front","light","light","LORRY",75,"injured","NO",50,"Licensed",55,50.00
122103,2,1,"highway","front","dark","light","small",31,"injured","NO",15,"Licensed",35,50.00
122109,5,1,"highway","front","light","light","small",26,"injured","NO",55,"Licensed",55,20.00
122129,2,1,"highway","front","light","light","small",59,"dead","NO",50,"Licensed",50,50.00
122138,3,1,"LOCAL","side","light","light","small",23,"injured","NO",20,"Licensed",25,33.33
122149,2,1,"highway","front","light","light","small",20,"injured","NO",40,"Licensed",25,50.00
122174,3,1,"LOCAL","front","light","light","small",24,"dead","Yes",80,"Licensed",70,33.33
122179,2,1,"highway","front","light","light","small",34,"dead","Yes",55,"Licensed",45,50.00
122187,8,1,"LOCAL","front","dark","light","small",18,"injured","NO",60,"Licensed",45,12.50
122210,2,1,"LOCAL","front","dark","light","LORRY",64,"dead","NO",20,"Licensed",50,50.00
122215,2,1,"LOCAL","front","light","light","small",26,"dead","Yes",70,"Licensed",70,50.00
122217,3,1,"LOCAL","front","dark","light","small",20,"dead","NO",50,"Licensed",45,33.33
122220,5,1,"LOCAL","front","light","light","small",22,"injured","NO",30,"Licensed",55,20.00
122221,2,1,"LOCAL","front","dark","light","small",44,"dead","Yes",60,"No Lic",60,50.00
122222,6,2,"LOCAL","front","light","light","small",58,"dead","Yes",45,"Licensed",45,33.33
122231,3,1,"LOCAL","front","dark","light","small",50,"injured","NO",80,"Licensed",50,33.33
122244,2,1,"highway","front","dark","light","small",22,"dead","Yes",50,"Licensed",35,50.00
122254,3,1,"LOCAL","front","dark","light","small",17,"injured","NO",10,"Licensed",45,33.33
122257,3,2,"LOCAL","front","light","light","small",66,"dead","NO",60,"Licensed",60,66.67
122263,2,1,"LOCAL","front","dark","light","small",71,"dead","Yes",55,"Licensed",55,50.00
122265,5,1,"LOCAL","front","dark","light","LORRY",24,"dead","Yes",80,"Licensed",40,20.00
122268,2,1,"LOCAL","front","dark","light","LORRY",34,"dead","NO",55,"Licensed",55,50.00
122269,4,1,"LOCAL","front","light","light","small",87,"injured","NO",15,"Licensed",70,25.00
122283,11,1,"highway","front","dark","light","small",23,"injured","NO",50,"Licensed",45,9.09
122288,2,1,"highway","front","light","light","small",51,"dead","NO",50,"Licensed",25,50.00
122295,6,1,"LOCAL","front","light","light","small",26,"injured","NO",60,"Licensed",60,16.67
122299,5,1,"LOCAL","side","light","light","small",73,"dead","NO",70,"Licensed",70,20.00
122304,3,2,"LOCAL","front","dark","light","small",19,"injured","Yes",45,"Licensed",45,66.67
122308,3,2,"LOCAL","front","dark","light","small",54,"injured","Yes",118,"Licensed",50,66.67
